treat,ID,week,cercs
a0p,AP15,6,10
a0p,AP16,6,28
a0p,AP17,6,72
a0p,AP18,6,68
a0p,AP19,6,69
a0p,AP21,6,100
a0p,AP22,6,78
a0p,AP23,6,70
a0p,AP24,6,0
a0p,AP25,6,80
a0p,AP26,6,0
a0p,AP29,6,86
a0p,AP31,6,184
a0p,AP33,6,101
a0p,AP34,6,93
a0p,AP35,6,61
a0p,AP36,6,167
a0p,AP37,6,152
a0p,AP38,6,112
a0p,AP39,6,82
a0p,AP40,6,46
0p,P1,7,78
0p,P2,7,79
0p,P4,7,NA
0p,P5,7,139
0p,P6,7,50
0p,P8,7,51
0p,P9,7,18
0p,P15,7,73
0p,P17,7,37
0p,P18,7,67
0p,P19,7,14
0p,P23,7,50
0p,P25,7,277
0p,P26,7,0
0p,P31,7,91
0p,P32,7,NA
0p,P33,7,64
0p,P37,7,63
0p,P40,7,87
a0p,AP3,7,240
a0p,AP5,7,0
a0p,AP7,7,NA
a0p,AP8,7,3
a0p,AP9,7,109
a0p,AP10,7,168
a0p,AP15,7,41
a0p,AP16,7,34
a0p,AP17,7,118
a0p,AP18,7,137
a0p,AP19,7,44
a0p,AP21,7,118
a0p,AP22,7,117
a0p,AP23,7,88
a0p,AP24,7,2
a0p,AP25,7,92
a0p,AP26,7,NA
a0p,AP29,7,112
a0p,AP31,7,198
a0p,AP33,7,171
a0p,AP34,7,115
a0p,AP35,7,49
a0p,AP36,7,157
a0p,AP37,7,112
a0p,AP38,7,109
a0p,AP40,7,74
0p,P1,8,58
0p,P2,8,168
0p,P4,8,NA
0p,P5,8,201
0p,P6,8,55
0p,P8,8,81
0p,P9,8,2
0p,P15,8,136
0p,P17,8,0
0p,P18,8,0
0p,P19,8,170
0p,P23,8,174
0p,P25,8,180
0p,P26,8,NA
0p,P31,8,75
0p,P32,8,NA
0p,P33,8,140
0p,P37,8,0
0p,P40,8,94
a0p,AP3,8,108
a0p,AP5,8,NA
a0p,AP7,8,NA
a0p,AP8,8,NA
a0p,AP9,8,50
a0p,AP10,8,69
a0p,AP15,8,49
a0p,AP16,8,89
a0p,AP17,8,14
a0p,AP18,8,266
a0p,AP19,8,98
a0p,AP21,8,183
a0p,AP22,8,281
a0p,AP23,8,26
a0p,AP24,8,3
a0p,AP25,8,159
a0p,AP26,8,NA
a0p,AP29,8,328
a0p,AP31,8,192
a0p,AP33,8,308
a0p,AP34,8,151
a0p,AP35,8,157
a0p,AP36,8,210
a0p,AP37,8,139
0p,P1,9,26
0p,P2,9,83
0p,P4,9,NA
0p,P5,9,73
0p,P6,9,0
0p,P8,9,NA
0p,P9,9,NA
0p,P15,9,120
0p,P17,9,NA
0p,P18,9,NA
0p,P19,9,57
0p,P23,9,60
0p,P25,9,112
0p,P26,9,NA
0p,P31,9,96
0p,P32,9,NA
0p,P33,9,119
0p,P37,9,NA
0p,P40,9,126
a0p,AP3,9,143
a0p,AP5,9,NA
a0p,AP7,9,NA
a0p,AP8,9,NA
a0p,AP9,9,89
a0p,AP10,9,40
a0p,AP15,9,NA
a0p,AP16,9,27
a0p,AP17,9,21
a0p,AP18,9,139
a0p,AP19,9,65
a0p,AP21,9,75
a0p,AP22,9,121
a0p,AP23,9,NA
a0p,AP24,9,0
a0p,AP25,9,115
a0p,AP26,9,NA
a0p,AP29,9,238
a0p,AP31,9,202
a0p,AP33,9,170
a0p,AP34,9,111
a0p,AP35,9,105
a0p,AP36,9,74
a0p,AP37,9,289
