treat,Group,week,eggs
a,A18,3,2
a,A19,3,3
a,A21,3,4
a,A22,3,3
a,A23,3,3
a,A24,3,4
a,A26,3,0
a,A27,3,4
a,A28,3,4
a,A29,3,4
a,A31,3,4
a,A32,3,1
a,A33,3,0
a,A34,3,4
a,A35,3,1
a,A36,3,0
a,A37,3,0
1p,P1,3,0
1p,P2,3,2
1p,P4,3,0
1p,P5,3,1
1p,P6,3,5
1p,P8,3,2
1p,P9,3,0
1p,P15,3,1
1p,P17,3,3
1p,P18,3,3
1p,P19,3,9
1p,P23,3,2
1p,P25,3,3
1p,P26,3,3
1p,P31,3,0
1p,P32,3,1
1p,P33,3,1
1p,P37,3,0
1p,P40,3,4
a1p,AP3,3,5
a1p,AP5,3,4
a1p,AP7,3,3
a1p,AP8,3,5
a1p,AP9,3,4
a1p,AP10,3,4
a1p,AP15,3,4
a1p,AP16,3,0
a1p,AP17,3,3
a1p,AP18,3,0
a1p,AP19,3,6
a1p,AP21,3,5
a1p,AP22,3,0
a1p,AP23,3,7
a1p,AP24,3,6
a1p,AP25,3,0
a1p,AP26,3,0
a1p,AP29,3,0
a1p,AP31,3,1
a1p,AP33,3,3
a1p,AP34,3,1
a1p,AP35,3,3
a1p,AP36,3,2
a1p,AP37,3,1
a1p,AP38,3,0
a1p,AP39,3,3
a1p,AP40,3,1
0c,C1,4,0
0c,C2,4,4
0c,C3,4,0
0c,C4,4,3
0c,C5,4,1
0c,C7,4,0
0c,C9,4,0
0c,C11,4,7
0c,C12,4,5
0c,C13,4,0
0c,C14,4,1
0c,C16,4,5
0c,C17,4,2
0c,C18,4,0
0c,C19,4,3
0c,C20,4,1
0c,C21,4,5
0c,C22,4,4
0c,C23,4,3
0c,C24,4,6
0c,C26,4,0
0c,C27,4,2
0c,C28,4,7
0c,C29,4,4
0c,C30,4,2
0c,C31,4,7
0c,C32,4,NA
0c,C33,4,2
0c,C34,4,1
0c,C35,4,NA
0c,C36,4,2
0c,C37,4,5
0c,C38,4,2
0c,C39,4,3
a,A1,4,1
a,A2,4,6
a,A3,4,4
a,A4,4,3
a,A5,4,4
a,A6,4,5
a,A7,4,7
a,A9,4,3
a,A10,4,2
a,A11,4,5
a,A12,4,0
a,A13,4,4
a,A14,4,0
a,A15,4,8
a,A16,4,4
a,A17,4,0
a,A18,4,8
a,A19,4,7
a,A21,4,7
a,A22,4,2
a,A23,4,1
a,A24,4,4
a,A26,4,1
a,A27,4,4
a,A28,4,6
a,A29,4,5
a,A31,4,0
a,A32,4,7
a,A33,4,0
a,A34,4,2
a,A35,4,4
a,A36,4,0
a,A37,4,0
1p,P1,4,0
1p,P2,4,0
1p,P4,4,0
1p,P5,4,0
1p,P6,4,0
1p,P8,4,0
1p,P9,4,0
1p,P15,4,2
1p,P17,4,0
1p,P18,4,0
1p,P19,4,0
1p,P23,4,0
1p,P25,4,0
1p,P26,4,0
1p,P31,4,NA
1p,P32,4,0
1p,P33,4,0
1p,P37,4,0
1p,P40,4,0
a1p,AP3,4,2
a1p,AP5,4,0
a1p,AP7,4,0
a1p,AP8,4,0
a1p,AP9,4,0
a1p,AP10,4,0
a1p,AP15,4,4
a1p,AP16,4,0
a1p,AP17,4,0
a1p,AP18,4,0
a1p,AP19,4,0
a1p,AP21,4,0
a1p,AP22,4,0
a1p,AP23,4,2
a1p,AP24,4,3
a1p,AP25,4,0
a1p,AP26,4,0
a1p,AP29,4,0
a1p,AP31,4,1
a1p,AP33,4,0
a1p,AP34,4,0
a1p,AP35,4,1
a1p,AP36,4,0
a1p,AP37,4,3
a1p,AP38,4,0
a1p,AP39,4,7
a1p,AP40,4,3
0c,C1,5,NA
0c,C2,5,5
0c,C3,5,1
0c,C4,5,3
0c,C5,5,5
0c,C7,5,NA
0c,C9,5,NA
0c,C11,5,5
0c,C12,5,5
0c,C13,5,0
0c,C14,5,4
0c,C16,5,6
0c,C17,5,5
0c,C18,5,NA
0c,C19,5,2
0c,C20,5,0
0c,C21,5,3
0c,C22,5,4
0c,C23,5,0
0c,C24,5,3
0c,C26,5,NA
0c,C27,5,1
0c,C28,5,5
0c,C29,5,5
0c,C30,5,3
0c,C31,5,0
0c,C32,5,NA
0c,C33,5,1
0c,C34,5,4
0c,C35,5,NA
0c,C36,5,7
0c,C37,5,5
0c,C38,5,0
0c,C39,5,4
a,A1,5,8
a,A2,5,7
a,A3,5,4
a,A4,5,7
a,A5,5,8
a,A6,5,6
a,A7,5,11
a,A9,5,4
a,A10,5,9
a,A11,5,6
a,A12,5,0
a,A13,5,4
a,A14,5,1
a,A15,5,6
a,A16,5,8
a,A17,5,NA
a,A18,5,5
a,A19,5,7
a,A21,5,4
a,A22,5,3
a,A23,5,3
a,A24,5,4
a,A26,5,3
a,A27,5,6
a,A28,5,7
a,A29,5,9
a,A31,5,4
a,A32,5,7
a,A33,5,NA
a,A34,5,4
a,A35,5,5
a,A36,5,5
a,A37,5,NA
1p,P1,5,0
1p,P2,5,0
1p,P4,5,0
1p,P5,5,0
1p,P6,5,0
1p,P8,5,0
1p,P9,5,0
1p,P15,5,0
1p,P17,5,0
1p,P18,5,0
1p,P19,5,0
1p,P23,5,0
1p,P25,5,0
1p,P26,5,0
1p,P31,5,NA
1p,P32,5,0
1p,P33,5,0
1p,P37,5,0
1p,P40,5,0
a1p,AP3,5,0
a1p,AP5,5,0
a1p,AP7,5,0
a1p,AP8,5,0
a1p,AP9,5,0
a1p,AP10,5,0
a1p,AP15,5,2
a1p,AP16,5,0
