treat,ID,week,cercs,pres
a0p,AP18,8,266,1
a0p,AP19,8,98,1
a0p,AP21,8,183,1
a0p,AP22,8,281,1
a0p,AP23,8,26,1
a0p,AP24,8,3,1
a0p,AP25,8,159,1
a0p,AP26,8,NA,NA
a0p,AP29,8,328,1
a0p,AP31,8,192,1
a0p,AP33,8,308,1
a0p,AP34,8,151,1
a0p,AP35,8,157,1
a0p,AP36,8,210,1
a0p,AP37,8,139,1
0p,P1,9,26,1
0p,P2,9,83,1
0p,P4,9,NA,NA
0p,P5,9,73,1
0p,P6,9,0,0
0p,P8,9,NA,NA
0p,P9,9,NA,NA
0p,P15,9,120,1
0p,P17,9,NA,NA
0p,P18,9,NA,NA
0p,P19,9,57,1
0p,P23,9,60,1
0p,P25,9,112,1
0p,P26,9,NA,NA
0p,P31,9,96,1
0p,P32,9,NA,NA
0p,P33,9,119,1
0p,P37,9,NA,NA
0p,P40,9,126,1
a0p,AP3,9,143,1
a0p,AP5,9,NA,NA
a0p,AP7,9,NA,NA
a0p,AP8,9,NA,NA
a0p,AP9,9,89,1
a0p,AP10,9,40,1
a0p,AP15,9,NA,NA
a0p,AP16,9,27,1
a0p,AP17,9,21,1
a0p,AP18,9,139,1
a0p,AP19,9,65,1
a0p,AP21,9,75,1
a0p,AP22,9,121,1
a0p,AP23,9,NA,NA
a0p,AP24,9,0,0
a0p,AP25,9,115,1
a0p,AP26,9,NA,NA
a0p,AP29,9,238,1
a0p,AP31,9,202,1
a0p,AP33,9,170,1
a0p,AP34,9,111,1
a0p,AP35,9,105,1
a0p,AP36,9,74,1
a0p,AP37,9,289,1
